%%% Global Ocean Heat Content estimate from 1993 to 2022 (Monthly)  v1.1.2
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]
2007	2	1.13 	1.14 	1.80 	1.39 	2.07 	1.33 	1.87 	1.16 
2007	3	1.15 	0.80 	1.82 	0.85 	2.11 	1.79 	1.91 	1.68 
2007	4	1.19 	0.78 	1.81 	0.63 	2.15 	1.43 	1.93 	1.04 
2007	5	1.22 	0.85 	1.75 	0.75 	2.06 	1.41 	1.85 	1.44 
2007	6	1.23 	0.93 	1.80 	1.20 	2.15 	1.66 	1.95 	0.58 
2007	7	1.19 	0.87 	1.73 	1.46 	2.07 	1.88 	1.90 	1.76 
2007	8	1.17 	1.20 	1.72 	2.01 	2.09 	1.12 	1.96 	1.36 
2007	9	1.17 	1.36 	1.72 	1.81 	2.06 	1.06 	1.88 	1.67 
2007	10	1.13 	1.15 	1.67 	2.06 	2.01 	2.46 	1.86 	1.79 
2007	11	1.01 	1.55 	1.45 	1.50 	1.71 	2.11 	1.59 	1.66 
2007	12	0.98 	1.52 	1.36 	1.70 	1.58 	1.21 	1.49 	1.77 
2008	1	1.01 	1.46 	1.51 	1.68 	1.74 	1.61 	1.65 	1.53 
2008	2	0.98 	1.27 	1.43 	1.82 	1.63 	0.99 	1.55 	1.05 
2008	3	0.96 	0.85 	1.32 	1.04 	1.49 	0.51 	1.43 	1.21 
2008	4	0.97 	0.98 	1.42 	1.59 	1.61 	1.24 	1.57 	1.06 
2008	5	1.01 	0.79 	1.54 	1.51 	1.82 	2.19 	1.83 	1.53 
2008	6	1.04 	0.89 	1.61 	0.90 	1.91 	1.12 	1.98 	1.08 
2008	7	1.12 	0.90 	1.73 	1.62 	2.10 	1.38 	2.19 	1.10 
2008	8	1.24 	1.08 	1.88 	2.55 	2.22 	1.16 	2.34 	1.55 
2008	9	1.32 	1.00 	2.00 	1.41 	2.39 	1.50 	2.57 	1.56 
2008	10	1.44 	1.38 	2.21 	1.37 	2.70 	1.85 	2.87 	1.47 
2008	11	1.64 	1.36 	2.54 	1.60 	3.11 	2.02 	3.26 	1.59 
2008	12	1.73 	1.10 	2.65 	1.12 	3.24 	0.62 	3.35 	1.52 
2009	1	1.80 	1.21 	2.59 	1.52 	3.17 	0.96 	3.27 	2.01 
2009	2	1.92 	0.85 	2.75 	1.83 	3.41 	1.64 	3.53 	1.43 
2009	3	2.10 	0.70 	2.97 	1.15 	3.65 	0.52 	3.74 	1.55 
2009	4	2.18 	0.53 	3.00 	0.85 	3.68 	1.07 	3.75 	2.13 
2009	5	2.20 	0.60 	2.99 	1.38 	3.69 	1.32 	3.72 	2.15 
2009	6	2.28 	0.76 	3.13 	1.64 	3.87 	1.32 	3.90 	1.64 
2009	7	2.36 	1.06 	3.29 	1.77 	4.06 	1.81 	4.09 	1.75 
2009	8	2.40 	1.10 	3.43 	2.11 	4.25 	1.86 	4.28 	1.81 
2009	9	2.48 	1.27 	3.53 	2.22 	4.45 	2.02 	4.45 	1.27 
2009	10	2.54 	1.18 	3.52 	1.98 	4.42 	2.75 	4.43 	0.86 
2009	11	2.55 	1.42 	3.52 	1.67 	4.47 	1.96 	4.48 	0.97 
2009	12	2.55 	1.09 	3.59 	1.18 	4.60 	1.25 	4.61 	0.69 
2010	1	2.57 	1.17 	3.75 	1.59 	4.83 	2.22 	4.83 	0.74 
2010	2	2.53 	0.92 	3.74 	1.66 	4.85 	1.63 	4.81 	1.26 
2010	3	2.45 	0.68 	3.71 	1.40 	4.89 	1.48 	4.85 	1.93 
2010	4	2.37 	0.78 	3.60 	0.99 	4.80 	2.22 	4.75 	2.15 
2010	5	2.36 	0.52 	3.64 	0.63 	4.80 	1.67 	4.81 	2.32 
2010	6	2.24 	0.72 	3.47 	1.06 	4.60 	1.11 	4.56 	1.31 
2010	7	2.08 	1.14 	3.25 	0.95 	4.35 	1.31 	4.28 	1.05 
2010	8	1.99 	0.86 	3.05 	1.43 	4.04 	1.08 	3.99 	1.60 
2010	9	1.89 	1.13 	2.89 	1.36 	3.77 	1.31 	3.72 	0.99 
2010	10	1.81 	1.06 	2.82 	1.92 	3.63 	1.74 	3.61 	1.02 
2010	11	1.67 	1.24 	2.59 	1.83 	3.25 	1.92 	3.24 	1.64 
2010	12	1.60 	1.26 	2.42 	1.13 	3.03 	1.40 	3.03 	1.09 
2011	1	1.55 	1.41 	2.33 	1.52 	2.91 	1.54 	2.93 	0.78 
2011	2	1.52 	1.13 	2.26 	1.57 	2.78 	1.52 	2.84 	1.61 
2011	3	1.52 	0.65 	2.25 	1.05 	2.74 	1.29 	2.84 	1.31 
2011	4	1.59 	0.58 	2.37 	1.07 	2.81 	1.41 	2.95 	0.87 
2011	5	1.60 	0.87 	2.29 	0.93 	2.70 	1.47 	2.84 	1.60 
2011	6	1.75 	0.69 	2.49 	1.05 	2.98 	1.31 	3.12 	1.05 
2011	7	1.84 	1.10 	2.53 	1.76 	3.03 	1.14 	3.17 	1.48 
2011	8	1.90 	0.96 	2.61 	1.79 	3.21 	1.54 	3.31 	1.31 
2011	9	2.00 	0.98 	2.77 	1.82 	3.45 	1.59 	3.54 	1.28 
2011	10	2.06 	1.23 	2.84 	2.11 	3.61 	2.13 	3.69 	1.81 
2011	11	2.20 	1.48 	3.13 	1.32 	4.04 	1.84 	4.10 	2.24 
2011	12	2.31 	1.64 	3.27 	1.78 	4.22 	1.88 	4.26 	2.48 
2012	1	2.35 	1.53 	3.23 	1.48 	4.18 	1.47 	4.22 	1.19 
2012	2	2.45 	1.42 	3.36 	1.42 	4.37 	0.80 	4.36 	1.30 
2012	3	2.57 	0.84 	3.48 	1.46 	4.55 	1.30 	4.52 	1.45 
2012	4	2.67 	0.70 	3.59 	1.87 	4.75 	1.46 	4.72 	1.46 
2012	5	2.80 	0.69 	3.78 	0.74 	5.02 	1.47 	4.95 	1.29 
2012	6	2.87 	0.80 	3.89 	0.82 	5.13 	1.63 	5.08 	0.79 
2012	7	3.07 	1.07 	4.22 	1.42 	5.52 	1.47 	5.48 	1.39 
2012	8	3.22 	1.13 	4.45 	1.52 	5.77 	1.87 	5.77 	1.17 
2012	9	3.31 	1.31 	4.52 	2.01 	5.91 	1.77 	5.90 	1.82 
2012	10	3.41 	1.35 	4.67 	1.91 	6.11 	2.16 	6.04 	1.57 
2012	11	3.48 	1.29 	4.67 	1.48 	6.06 	1.54 	6.00 	1.98 
2012	12	3.59 	1.43 	4.80 	1.30 	6.18 	1.76 	6.13 	1.66 
2013	1	3.65 	1.19 	4.98 	1.64 	6.38 	1.97 	6.36 	1.32 
2013	2	3.67 	0.91 	5.03 	1.49 	6.37 	1.59 	6.37 	1.73 
2013	3	3.72 	0.78 	5.12 	1.48 	6.43 	1.54 	6.43 	1.78 
2013	4	3.73 	0.68 	5.09 	1.27 	6.40 	1.66 	6.35 	2.10 
2013	5	3.75 	0.54 	5.11 	1.10 	6.45 	1.85 	6.41 	1.21 
2013	6	3.78 	0.72 	5.10 	1.25 	6.42 	1.67 	6.37 	1.99 
2013	7	3.75 	0.96 	5.06 	1.23 	6.36 	1.37 	6.31 	1.76 
2013	8	3.78 	0.98 	5.10 	1.61 	6.43 	1.80 	6.33 	1.81 
2013	9	3.83 	1.17 	5.18 	1.98 	6.48 	2.10 	6.37 	1.48 
2013	10	3.88 	1.12 	5.20 	1.72 	6.48 	2.26 	6.39 	1.46 
2013	11	3.96 	1.43 	5.30 	2.05 	6.66 	1.90 	6.54 	1.86 
2013	12	4.01 	1.16 	5.33 	1.84 	6.76 	1.21 	6.63 	1.72 
2014	1	4.10 	1.09 	5.42 	1.64 	6.87 	1.85 	6.72 	1.63 
2014	2	4.19 	0.73 	5.59 	2.13 	7.12 	1.85 	6.94 	1.76 
