%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
2007	11	1.38 	0.22 	2.21 	0.31 	2.70 	0.53 	2.62 	0.35 
2007	12	1.31 	0.22 	2.05 	0.30 	2.63 	0.53 	2.51 	0.38 
2008	1	1.38 	0.22 	2.23 	0.27 	2.87 	0.52 	2.70 	0.39 
2008	2	1.34 	0.23 	2.20 	0.27 	2.90 	0.48 	2.68 	0.42 
2008	3	1.34 	0.25 	2.15 	0.26 	2.87 	0.44 	2.61 	0.45 
2008	4	1.37 	0.26 	2.25 	0.27 	3.05 	0.39 	2.77 	0.46 
2008	5	1.31 	0.28 	2.21 	0.30 	3.00 	0.32 	2.67 	0.48 
2008	6	1.28 	0.27 	2.20 	0.34 	3.00 	0.28 	2.66 	0.50 
2008	7	1.37 	0.25 	2.27 	0.36 	3.11 	0.28 	2.73 	0.48 
2008	8	1.50 	0.24 	2.35 	0.38 	3.16 	0.32 	2.78 	0.46 
2008	9	1.60 	0.23 	2.49 	0.43 	3.35 	0.32 	2.95 	0.41 
2008	10	1.73 	0.22 	2.72 	0.47 	3.61 	0.37 	3.23 	0.39 
2008	11	1.95 	0.22 	3.12 	0.49 	4.09 	0.39 	3.72 	0.37 
2008	12	2.04 	0.21 	3.29 	0.52 	4.23 	0.43 	3.94 	0.35 
2009	1	2.07 	0.19 	3.18 	0.49 	4.04 	0.39 	3.85 	0.36 
2009	2	2.19 	0.17 	3.37 	0.45 	4.25 	0.39 	4.11 	0.34 
2009	3	2.39 	0.14 	3.65 	0.42 	4.49 	0.41 	4.42 	0.32 
2009	4	2.46 	0.11 	3.70 	0.38 	4.50 	0.41 	4.48 	0.30 
2009	5	2.63 	0.09 	3.96 	0.38 	4.84 	0.39 	4.86 	0.31 
2009	6	2.77 	0.08 	4.23 	0.40 	5.20 	0.40 	5.31 	0.35 
2009	7	2.92 	0.06 	4.53 	0.41 	5.59 	0.40 	5.79 	0.39 
2009	8	3.03 	0.05 	4.78 	0.39 	5.98 	0.39 	6.24 	0.45 
2009	9	3.17 	0.07 	4.98 	0.37 	6.27 	0.43 	6.66 	0.53 
2009	10	3.27 	0.08 	5.05 	0.36 	6.36 	0.42 	6.85 	0.59 
2009	11	3.31 	0.13 	5.04 	0.33 	6.33 	0.44 	6.93 	0.65 
2009	12	3.34 	0.18 	5.13 	0.23 	6.41 	0.48 	7.02 	0.60 
2010	1	3.42 	0.19 	5.42 	0.19 	6.74 	0.50 	7.36 	0.58 
2010	2	3.45 	0.20 	5.48 	0.21 	6.79 	0.54 	7.43 	0.63 
2010	3	3.35 	0.21 	5.42 	0.26 	6.75 	0.52 	7.39 	0.72 
2010	4	3.27 	0.20 	5.33 	0.33 	6.65 	0.47 	7.34 	0.78 
2010	5	3.14 	0.22 	5.15 	0.38 	6.30 	0.43 	6.98 	0.77 
2010	6	2.99 	0.21 	4.89 	0.40 	5.86 	0.45 	6.47 	0.80 
2010	7	2.87 	0.22 	4.72 	0.44 	5.56 	0.44 	6.16 	0.81 
2010	8	2.79 	0.23 	4.53 	0.47 	5.16 	0.43 	5.77 	0.86 
2010	9	2.66 	0.26 	4.32 	0.52 	4.71 	0.45 	5.28 	0.95 
2010	10	2.56 	0.28 	4.18 	0.53 	4.46 	0.50 	4.98 	0.97 
2010	11	2.40 	0.30 	3.87 	0.58 	4.05 	0.52 	4.51 	0.95 
2010	12	2.30 	0.31 	3.67 	0.62 	3.83 	0.53 	4.30 	0.93 
2011	1	2.23 	0.32 	3.48 	0.66 	3.68 	0.53 	4.10 	0.84 
2011	2	2.18 	0.33 	3.32 	0.68 	3.52 	0.54 	3.93 	0.75 
2011	3	2.20 	0.34 	3.36 	0.66 	3.62 	0.55 	4.02 	0.65 
2011	4	2.33 	0.34 	3.57 	0.63 	3.95 	0.54 	4.31 	0.63 
2011	5	2.47 	0.34 	3.76 	0.58 	4.30 	0.56 	4.68 	0.59 
2011	6	2.63 	0.34 	3.98 	0.55 	4.69 	0.54 	5.10 	0.46 
2011	7	2.65 	0.36 	3.95 	0.56 	4.70 	0.53 	5.10 	0.52 
2011	8	2.61 	0.36 	3.92 	0.51 	4.83 	0.54 	5.14 	0.61 
2011	9	2.72 	0.34 	3.99 	0.44 	5.14 	0.57 	5.32 	0.60 
2011	10	2.79 	0.36 	4.11 	0.42 	5.39 	0.51 	5.52 	0.64 
2011	11	2.97 	0.38 	4.53 	0.39 	6.01 	0.51 	6.08 	0.68 
2011	12	3.09 	0.38 	4.73 	0.39 	6.36 	0.48 	6.36 	0.75 
