%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
2007	2	1.1	0.96	1.78 	1.26 	2.04 	1.33 	1.84 	1.25 		
2007	3	1.13	0.94	1.81 	0.74 	2.09 	1.75 	1.89 	1.59 		
2007	4	1.17	0.83	1.81 	0.49 	2.14 	1.36 	1.92 	0.97 		
2007	5	1.19	0.8	1.74 	0.69 	2.04 	1.46 	1.84 	1.42 		
2007	6	1.2	0.93	1.80 	1.26 	2.14 	1.65 	1.94 	0.58 		
2007	7	1.16	0.65	1.74 	1.56 	2.06 	1.96 	1.90 	1.74 		
2007	8	1.14	1.25	1.74 	2.10 	2.09 	1.22 	1.96 	1.35 		
2007	9	1.15	1.22	1.74 	1.90 	2.07 	1.21 	1.90 	1.68 		
2007	10	1.11	0.98	1.70 	2.13 	2.03 	2.48 	1.88 	1.75 		
2007	11	1.01	1.21	1.48 	1.59 	1.73 	2.25 	1.62 	1.60 		
2007	12	0.98	1	1.40 	1.67 	1.60 	1.15 	1.51 	1.73 		
2008	1	1.02	1.04	1.55 	1.67 	1.77 	1.50 	1.68 	1.57 		
2008	2	0.99	1.12	1.46 	1.76 	1.65 	1.01 	1.57 	1.11 		
2008	3	0.97	1.04	1.35 	1.00 	1.50 	0.48 	1.44 	1.19 		
2008	4	0.97	0.78	1.44 	1.65 	1.61 	1.24 	1.57 	1.08 		
2008	5	1.02	0.67	1.57 	1.53 	1.82 	2.22 	1.82 	1.56 		
2008	6	1.05	0.73	1.63 	0.93 	1.91 	1.15 	1.97 	1.02 		
2008	7	1.13	0.77	1.73 	1.72 	2.07 	1.44 	2.16 	1.11 		
2008	8	1.24	0.92	1.89 	2.64 	2.20 	1.24 	2.32 	1.54 		
2008	9	1.32	0.98	2.00 	1.48 	2.36 	1.63 	2.53 	1.58 		
2008	10	1.43	1.13	2.20 	1.39 	2.65 	2.01 	2.82 	1.41 		
2008	11	1.62	0.95	2.54 	1.62 	3.08 	2.14 	3.22 	1.60 		
2008	12	1.7	0.62	2.64 	1.10 	3.20 	0.78 	3.30 	1.55 		
2009	1	1.76	0.87	2.57 	1.49 	3.11 	0.89 	3.21 	1.99 		
2009	2	1.87	0.8	2.73 	1.72 	3.36 	1.70 	3.46 	1.42 		
2009	3	2.05	0.7	2.95 	1.04 	3.59 	0.54 	3.67 	1.52 		
